opstring,name,head,date,body
0x01,Bolus,4,5,0
0x03,Prime,5,5,0
0x06,NoDelivery,4,5,0
0x07,ResultTotals,5,5,41
0x08,ChangeBasalProfile,2,5,42
0x0a,CalBGForPH,2,5,0
0x0c,ClearAlarm,2,5,0
0x14,SelectBasalProfile,2,5,0
0x16,TempBasalDuration,2,5,0
0x17,ChangeTime,2,5,0
0x18,NewTimeSet,2,5,0
0x19,LowBattery,2,5,0
0x1a,Battery,2,5,0
0x1e,PumpSuspend,2,5,0
0x1f,PumpResume,2,5,0
0x21,Rewind,2,5,0
0x26,EnableDisableRemote,2,5,14
0x27,ChangeRemoteID,2,5,0
0x33,TempBasal,2,5,1
0x34,LowReservoir,2,5,0
0x5b,BolusWizard,2,5,13
0x5c,UnabsorbedInsulinBolus,2,0,0
0x63,ChangeUtility,2,5,0
0x64,ChangeTimeDisplay,2,5,0
0x6d,hack1,46,5,0
